romance,new_character,character_development,magic_kaito,english_airdate,next_conans_hint,original_airdate,episode_title,japanese_episode_number,characters_pasts,black_organization,manga_source,fbi,english_episode_number
no,no,no,no,,TV drama,"May 8, 2006",Aya Ueto and Shinichi - The Promise from 4 Years Ago,437,yes,no,TV Original,no,-
no,no,no,no,,Three fish,"May 15, 2006",The Pursuit of the Fish E-mail,438,no,no,V51 - F2~3,no,-
no,no,no,no,,Novel,"May 22, 2006",And It'd Be Nice if Everybody Disappeared,439,no,no,TV Original,no,-
no,no,no,no,,Two cars,"May 29, 2006",The Car Stunt's Utmost Limit,440,no,no,TV Original,no,-
no,no,no,no,,Muddler,"June 5, 2006","The Final ""Ahh""",441,no,no,TV Original,no,-
no,no,no,no,,Amnesia,"June 12, 2006",The Man Obstructed by the Steel Frame,442,no,no,TV Original,no,-
no,no,no,no,,Self-service ropeway,"June 19, 2006",The Entrance to the Maze: The Anger of the Colossus (1 Hour Special) (Rerun),208,no,no,TV Original,no,-
no,no,no,no,,Matching parkas,"June 26, 2006",Clam Digging With a Sigh (Part 1),443,no,no,V51 - F4~6,no,-
no,no,no,no,,PET bottle cap,"July 3, 2006",Clam Digging With a Sigh (Part 2),444,no,no,V51 - F4~6,no,-
no,yes,no,no,,Young Japanese woman texting style,"July 10, 2006",Secret of the Russian Blue,445,no,no,V51 - F7~8,no,-
no,no,no,no,,Key chain,"July 24, 2006",The Sealed Western-Style Window (Part 1),446,no,no,V51 - F9~11,no,-
no,no,no,no,,Book sequence,"July 31, 2006",The Sealed Western-Style Window (Part 2),447,no,no,V51 - F9~11,no,-
yes,no,no,no,,N/A,"August 7, 2006",The Bride of Huis ten Bosch (1 Hour Special) (Rerun),342,no,no,TV Original,no,-
no,no,no,no,,Fairytale,"August 14, 2006",The Meguro Sanma Case,448,no,no,TV Original,no,-
yes,no,no,no,,Ominous message,"August 21, 2006",Metropolitan Police Detective Love Story - Fake Wedding (1 Hour Special),449,no,no,V52 - F3~5,no,-
no,no,no,no,,Stage lighting,"August 28, 2006",Trick vs. Magic (Part 1),450,no,no,TV Original,no,-
no,no,no,no,,Latch,"September 4, 2006",Trick vs. Magic (Part 2),451,no,no,TV Original,no,-
no,no,no,no,,Stage actor,"September 11, 2006",The Phantom of the Konpira (1 Hour Special),452,no,no,TV Original,no,-
no,no,no,no,,Premium ticket,"October 23, 2006",Preview Screening of Fate and Friendship,453,no,no,V52 - F1~2,no,-
no,no,no,no,,Collection,"October 30, 2006",The Overturned Conclusion (Part 1),454,no,no,V52 - F6~8,no,-
no,no,no,no,,Incomplete manuscript,"November 6, 2006",The Overturned Conclusion (Part 2),455,no,no,V52 - F6~8,no,-
no,no,no,no,,Sushi shop ginger,"November 13, 2006",The Mystery I Loved,456,no,no,TV Original,no,-
yes,no,no,no,,Katakana name,"November 20, 2006",Sonoko's Red Handkerchief (Part 1),457,no,no,V52 - F9~11,no,-
yes,yes,no,no,,April 1st,"November 27, 2006",Sonoko's Red Handkerchief (Part 2),458,no,no,V52 - F9~11,no,-
no,no,no,no,,Moving,"December 4, 2006",A Mysterious Man - Overly Strict with Regulations,459,no,no,TV Original,no,-
no,yes,no,no,,Eye of a die,"January 15, 2007",Class 1-B's Great Operation!,460,no,no,V53 - F5~6,no,-
no,no,no,no,,Picture frame,"January 22, 2007",The Missing Page,461,no,no,TV Original,no,-
no,no,no,no,,Shining hammer,"January 29, 2007",The Shadow of the Black Organization (The Young Witness),462,no,no,V53 - F7~9,no,-
no,no,no,no,,Serpent and nail,"February 5, 2007",The Shadow of the Black Organization (The Strange Illumination),463,no,yes,V53 - F7~9,no,-
no,no,no,no,,"""The Red-Headed League""","February 12, 2007",The Shadow of the Black Organization (The Mystery of the Big Reward),464,no,yes,V53 - F10,no,-
no,no,no,no,,Scattering beans for Setsubun,"February 19, 2007",The Shadow of the Black Organization (Shining Star of Pearl),465,no,yes,V53 - F10,no,-
no,no,no,no,,Snowman's gloves,"February 26, 2007",The Unsmashable Snowman (Part 1),466,no,no,V54 - F3~5,no,-
no,no,no,no,,Flavor of snow,"March 5, 2007",The Unsmashable Snowman (Part 2),467,no,no,V54 - F3~5,no,-
no,no,no,no,,X-ray,"March 12, 2007",Mysterious Case Near the Pond,468,no,no,TV Original,no,-
no,no,no,yes,,Advance notice drawing,"April 16, 2007",Kaitou Kid and the Four Masterpieces (Part 1),469,no,no,V53 - F1~4,no,-
no,no,no,yes,,"Things you can't see, but still exist","April 23, 2007",Kaitou Kid and the Four Masterpieces (Part 2),470,no,no,V53 - F1~4,no,-
no,no,no,no,,Highway information,"May 7, 2007",The Uncontrollable Rental Car!,471,no,no,TV Original,no,-
no,no,no,no,,Shinichi Kudo's younger brother,"May 14, 2007",Shinichi Kudo's Childhood Adventure (Part 1),472,yes,no,V55 - F6~9,no,-
yes,no,no,yes,,Kaitou Kid's godparent,"May 21, 2007",Shinichi Kudo's Childhood Adventure (Part 2),473,yes,no,V55 - F6~9,no,-
no,no,no,no,,Baby language,"June 4, 2007",The Love of Lawyer Eri Kisaki,474,no,no,V55 - F10~11,no,-
no,no,no,no,,Luck of a bad person,"June 18, 2007",Bad Luck Grand Prix,475,no,no,TV Original,no,-
no,no,no,no,,Parking ticket,"June 25, 2007",Genta's Certain Kill Shot (Part 1),476,no,no,V55 - F3~5,no,-
no,no,no,no,,A teasing priest,"July 2, 2007",Genta's Certain Kill Shot (Part 2),477,no,no,V55 - F3~5,no,-
no,no,no,no,,Live TV broadcast program,"July 9, 2007",Real 30 Minutes,478,no,no,TV Original,no,-
yes,yes,no,yes,,Tatami mat and window,"July 16, 2007",Three Days with Heiji Hattori (2 Hour Special),479,no,no,V54 - F6,no,-
no,no,no,no,,Hometown newspaper,"July 23, 2007",Yellow Alibi,480,no,no,TV Original,no,-
no,no,no,no,,Knife,"July 30, 2007",Mountain Witch's Cutlery (Part 1),481,no,no,V56 - F4~6,no,-
no,no,no,no,,Goldfish tank,"August 6, 2007",Mountain Witch's Cutlery (Part 2),482,no,no,V56 - F4~6,no,-
no,no,no,no,,Last train,"August 13, 2007",The Vanished Policeman,483,no,no,TV Original,no,-
no,no,no,no,,Large amount of sweat,"August 20, 2007",Whereabouts of the Dark Photograph (Part 1),484,no,no,V56 - F7~9,no,-
no,yes,no,no,,Washing machine,"August 27, 2007",Whereabouts of the Dark Photograph (Part 2),485,no,no,V56 - F7~9,no,-
no,no,no,no,,Watch dial,"September 3, 2007",Beckoning Cat from Right to Left,486,no,no,TV Original,no,-
no,no,no,no,,Tightrope walking,"October 15, 2007",Metropolitan Police Detective Love Story 8: The Left Hand's Ring Finger (1 Hour Special),487,no,no,V56 - F1~3,no,-
no,no,no,no,,Delivery,"October 22, 2007",The Devil of the TV Station (1 Hour Special),488,no,no,V57 - F5~7,no,-
yes,no,yes,no,,Rmaji,"October 29, 2007",Tottori Spider Mansion Demon (1 Hour Special) (Remastered),166-168,no,no,V25 - F4~F8,no,-
yes,no,yes,no,,Health insurance card,"November 5, 2007",And Then There Were No Mermaids (1 Hour Special) (Remastered),222-224,no,no,V28 - F6~F10,no,-
no,no,no,no,,Jacket,"November 26, 2007",Courtroom Confrontation III: Prosecutor as Eyewitness (1 Hour Special),489,no,no,TV Original,no,-
no,no,no,no,,Ski lift,"December 3, 2007",Heiji Hattori vs. Shinichi Kudo: Deduction Battle on the Ski Slope (1 Hour Special),490,yes,no,V50 - F8,no,-
no,no,no,no,,N/A,"December 17, 2007",Black History (TV Special),S2,no,yes,TV Original,yes,-
no,no,yes,no,,Coin locker,"December 17, 2007",Contact with the Black Organization (1 Hour Special) (Remastered),309-311,no,yes,V37 - F8,no,-
no,no,no,no,,Wrong phone number,"January 14, 2008",Clash of Red and Black (The Beginning),491,no,yes,V56 - F10~11,no,-
no,no,no,no,,Blood transfusion,"January 21, 2008",Clash of Red and Black (Blood Relative),492,no,yes,V56 - F10,yes,-
no,no,no,no,,Expensive vase,"January 28, 2008",Clash of Red and Black (Exclamation),493,no,no,V57 - F1~4,no,-
no,no,no,no,,Stool,"February 4, 2008",Clash of Red and Black (Hades),494,no,no,V57 - F1~4,no,-
no,no,no,no,,"""The Seven Children""","February 11, 2008",Clash of Red and Black (Coma),495,no,yes,V57 - F9~10,yes,-
no,no,no,no,,Scar,"February 18, 2008",Clash of Red and Black (Invasion),496,no,yes,V57 - F10,yes,-
no,yes,no,no,,Akemi Miyano,"February 25, 2008",Clash of Red and Black (Awakening),497,no,yes,V58 - F1~2,yes,-
no,no,no,no,,Flowerpots,"March 3, 2008",Clash of Red and Black (Disturbance),498,no,yes,V58 - F3~4,yes,-
no,no,no,no,,Driving technique,"March 10, 2008",Clash of Red and Black (Disguise),499,no,yes,V58 - F4~6,yes,-
no,no,no,no,,Kir,"March 17, 2008",Clash of Red and Black (Testament),500,no,yes,V58 - F6~7,yes,-
no,no,no,no,,Foreign talent,"April 14, 2008",Clash of Red and Black (Suspicion),501,no,yes,V58 - F8~9,yes,-
no,no,no,no,,English pronunciation,"April 28, 2008",Clash of Red and Black (Innocence),502,no,yes,V58 - F9~10,yes,-
no,no,no,no,,Magic spell,"May 12, 2008",Clash of Red and Black (Ready to Die),503,no,yes,V58 - F10~11,yes,-
no,no,yes,no,,Bullet,"May 19, 2008",Clash of Red and Black (Killed in the Line of Duty),504,no,yes,V58 - F11,yes,-
no,no,no,no,,Hair,"June 16, 2008",Lawyer Eri Kisaki's Testimony (Part 1),505,no,no,V59 - F2~4,no,-
no,no,no,no,,Scooter,"June 23, 2008",Lawyer Eri Kisaki's Testimony (Part 2),506,no,no,V59 - F2~4,no,-
no,no,no,no,,Eisuke Hondou,"June 30, 2008",The Blind Spot in the Karaoke Box (Part 1),507,no,no,V59 - F11,no,-
no,no,yes,no,,Suspects' shoes,"July 7, 2008",The Blind Spot in the Karaoke Box (Part 2),508,no,no,V59 - F11,no,-
no,yes,no,no,,Diary,"July 14, 2008","Red, White, Yellow, and the Detective Boys",509,no,yes,V60 - F3~5,yes,-
no,no,no,no,,Mini car,"July 28, 2008",Conan vs. Double Code Mystery,510,no,no,V60 - F3~5,no,-
yes,no,yes,no,,Squid,"August 4, 2008",Deduction Showdown! Shinichi vs. Subaru Okiya,511,no,no,V61 - F8~10,no,-
yes,no,no,no,,Bluebird,"August 11, 2008",The Broken Horoscope,512,no,no,TV Original,no,-
no,no,no,no,,Wet coat,"September 1, 2008",Coffee Aroma with Murderous Intention (Part 1),513,no,no,V60 - F9~11,no,-
no,no,no,no,,Cake,"September 8, 2008",Coffee Aroma with Murderous Intention (Part 2),514,no,no,V60 - F9~11,no,-
no,no,no,yes,,White and black,"October 20, 2008",Kaitou Kid's Teleportation Magic (1 Hour Special),515,no,no,V61 - F1~4,no,-
yes,no,yes,no,,Mirror,"October 27, 2008",Shinichi Kudo's New York Case (1 Hour Special) (Remastered),286-288,yes,no,V34 - F11,yes,-
yes,yes,no,no,,Centipede,"November 3, 2008",Furinkazan - The Mysterious Armored Warrior (1 Hour Special),516,no,no,V59 - F5~10,no,-
yes,no,no,no,,Eye shadow,"November 10, 2008",Furinkazan - Shadow and Lightning Conclusion,517,no,no,V59 - F5~10,no,-
no,no,no,no,,Fox,"December 1, 2008",Meiji Restoration Mystery Tour: Investigation Chapter,518,no,no,TV Original,no,-
no,no,no,no,,Cat,"December 8, 2008",Meiji Restoration Mystery Tour: Decipher Chapter,519,no,no,TV Original,no,-
no,no,no,no,,Tasting,"December 15, 2008",Red Wine Indictment,520,no,no,TV Original,no,-
no,yes,yes,yes,,Suspension,"December 22, 2008",Kaitou Kid's Miraculous Midair Walk (1 Hour Special) (Remastered),356,no,no,V44 - F7~10,no,-
no,no,yes,no,,Shinichi Kudo,"January 19, 2009","Murderer, Shinichi Kudo (1 Hour Special)",521,no,no,V62 - F5~8,no,-
no,no,no,no,,Shiragami-sama's curse,"January 26, 2009",Shinichi's True Face and Ran's Tears (1 Hour Special),522,no,no,V62 - F9~11,no,-
yes,no,no,no,,Car window,"February 2, 2009",What She Truly Wants to Ask,523,no,no,V63 - F1~2,no,-
yes,no,no,no,,Fleece jacket,"February 9, 2009",The Blue Spark of Hate (Part 1),524,no,no,V63 - F2,no,-
no,no,no,no,,Wool sweater,"February 16, 2009",The Blue Spark of Hate (Part 2),525,no,no,V61 - F5~8,no,-
no,no,no,no,,Parcel ribbon,"February 23, 2009",A Present from the True Culprit,526,no,no,V61 - F11,no,-
no,no,no,no,,Stone coffin,"March 2, 2009",The Malice Hidden Behind the Masque,527,no,no,TV Original,no,-
no,no,no,no,,Ring impression,"March 9, 2009",Might Over Mystery (Part 1),528,no,no,V62 - F2~4,no,-
no,no,no,no,,Mahjong sounds,"March 16, 2009",Might Over Mystery (Part 2),529,no,no,V62 - F2~4,no,-
no,yes,no,no,,Reddish brown hair,"March 23, 2009",Reunion with the Black Organization (1 Hour Special) (Remastered),176-178,yes,yes,V24 - F7~F11,no,-
no,no,no,no,,N/A,"March 27, 2009",Lupin III vs. Detective Conan (TV Special),S3,no,no,TV Original,no,-
yes,yes,yes,no,,Tropical Land,"April 4, 2009",Roller Coaster Murder Case (Remastered),1,yes,yes,V1 ~ F1,no,-
no,yes,yes,no,,Skyscraper,"April 11, 2009",Company President's Daughter Kidnapping Case (Remastered),2,no,no,V1 - F2~5,no,-
yes,no,no,no,,Hammer man,"April 18, 2009",The Truth Behind the Urban Legend (Part 1),530,no,no,V60 - F6~8,no,-
yes,no,no,no,,Shift pad,"April 25, 2009",The Truth Behind the Urban Legend (Part 2),531,no,no,V60 - F6~8,no,-
no,no,no,no,,Nickname,"May 2, 2009",The Scar of First Love,532,no,no,V64 - F4~6,no,-
yes,no,no,no,,Sushi,"May 9, 2009",The Scar that Evokes the Past,533,no,no,V64 - F4~10,no,-
yes,no,no,no,,The letter Z,"May 16, 2009",The New Scar and the Whistling Man,534,no,no,V64 - F7~10,no,-
yes,no,no,no,,Mouse,"May 23, 2009",An Old Scar and the Detective's Spirit,535,no,no,V64 - F7~10,no,-
no,no,no,no,,Nameplate,"May 30, 2009",The Secret of the Vanished Masterpiece,536,no,no,TV Original,no,-
no,no,yes,no,,The Detective Boys,"June 6, 2009",The Coded Map of the City Case (Remastered),4,no,no,V4 - F7~10,no,-
no,no,no,yes,,A warning letter,"June 13, 2009",Kaitou Kid vs. the Strongest Safe (Part 1),537,no,no,V64 - F11,no,-
no,no,no,yes,,Jirokichi Suzuki,"June 20, 2009",Kaitou Kid vs. the Strongest Safe (Part 2),538,no,no,V64 - F11,no,-
no,no,yes,no,,Skateboard,"June 27, 2009",Ayumi-chan Kidnapping Case (Remastered),12,no,no,V9 - F1~3,no,-
no,no,no,no,,Network camera,"July 4, 2009",A Fool's Inheritance,539,no,no,TV Original,no,-
no,no,no,no,,Flashlight,"July 11, 2009",The Day Kogoro Mouri Ceased Being a Detective (Part 1),540,no,no,TV Original,no,-
no,no,no,no,,Voice,"July 18, 2009",The Day Kogoro Mouri Ceased Being a Detective (Part 2),541,no,no,TV Original,no,-
no,no,no,no,,Names of fish,"July 25, 2009",Ikkaku Rock's Disappearing Fish (Part 1),542,no,no,V64 - F1~3,no,-
no,no,yes,no,,Diver's watch,"August 1, 2009",Ikkaku Rock's Disappearing Fish (Part 2),543,no,no,V64 - F1~3,no,-
no,no,no,no,,Crayon,"August 8, 2009",The Hand That Plays in Dissonance,544,no,no,TV Original,no,-
no,no,yes,no,,Computer virus,"August 15, 2009",Night Baron Murder Case (The Case) (Remastered),68,no,no,V8 - F2~7,no,-
no,no,no,no,,Security lock,"August 22, 2009",Night Baron Murder Case (The Suspicion) (Remastered),69,no,no,V8 - F2~7,no,-
no,no,no,no,,Wind,"August 29, 2009",Night Baron Murder Case (The Resolution) (Remastered),70,no,no,V8 - F2~7,no,-
no,no,no,no,,Detective Yamamura's Granny,"September 5, 2009",The Witch Enshrouded by Fog (Part 1),545,no,no,V63 - F9~11,no,-
no,no,no,no,,Mirage,"September 12, 2009",The Witch Enshrouded by Fog (Part 2),546,no,no,V63 - F9~11,no,-
no,no,no,no,,Gun,"September 19, 2009",Two Days with the Culprit (First Day),547,no,no,TV Original,no,-
no,no,no,no,,Window wiping,"September 26, 2009",Two Days with the Culprit (Second Day),548,no,no,TV Original,no,-
no,no,no,no,,Clockwise,"October 3, 2009",The Revolving Sushi Mystery (Part 1),549,no,no,V63 - F3~5,no,-
no,no,no,no,,Method of eating sushi,"October 10, 2009",The Revolving Sushi Mystery (Part 2),550,no,no,V63 - F3~5,no,-
no,yes,no,no,,Kojima-san,"October 17, 2009",The Culprit is Genta's Dad (Part 1),551,no,no,V63 - F6~8,no,-
no,no,no,no,,Tokyoite,"October 24, 2009",The Culprit is Genta's Dad (Part 2),552,no,no,V63 - F6~8,no,-
no,no,no,no,,Left-handed,"October 31, 2009",The Interrogation Room,553,no,no,TV Original,no,-
yes,no,no,no,,Letter,"November 7, 2009",Stork Mystery Tour (Ran's Search Chapter),554,no,no,TV Original,no,-
no,no,no,no,,Detective Boys Badge,"November 14, 2009",Stork Mystery Tour (Haruna's Pursuit Chapter),555,no,no,TV Original,no,-
no,no,no,no,,Rainbow,"November 21, 2009",Intersection of Fear,556,no,no,TV Original,no,-
no,no,no,no,,Dialect,"November 28, 2009",A Dangerous Party of Two,557,no,no,V65 - F6~7,no,-
no,yes,no,no,,Red paint,"December 5, 2009",The Mansion of Death and the Red Wall (Three Visits),558,no,no,V65 - F8,no,-
no,no,no,no,,Chess,"December 12, 2009",The Mansion of Death and the Red Wall (Item in Hand),559,no,no,V65 - F8,no,-
no,no,no,no,,Operating gown,"December 19, 2009",The Mansion of Death and the Red Wall (The Late Komei),560,no,no,V65 - F8,no,-
no,no,no,no,,Italy,"December 26, 2009",The Mansion of Death and the Red Wall (Empty Fort Strategy),561,no,no,V65 - F8,no,-
no,yes,no,no,,Footprints,"January 9, 2010",Big Monster Gomera Murder Case (Remastered),63,no,no,V13 - F8~10,no,-
no,no,no,no,,Cavan,"January 16, 2010",Rainbow Color Kidnapping,562,no,no,TV Original,no,-
no,yes,yes,no,,Eye-covering,"January 23, 2010",Detective Boys vs. Robber Group (Turmoil),563,no,no,V65 - F3~5,yes,-
no,no,no,no,,Hostages,"January 30, 2010",Detective Boys vs. Robber Group (Silence),564,no,no,V65 - F3~5,no,-
yes,no,no,no,,Wig,"February 6, 2010",The Eyewitness Who Did Not See,565,no,no,TV Original,no,-
yes,no,yes,no,,Clock,"February 13, 2010",The Old Blue Castle Investigation Case (Part 1) (Remastered),136,no,no,V20 - F10,no,-
no,no,no,no,,Passport,"February 20, 2010",The Old Blue Castle Investigation Case (Part 2) (Remastered),137,no,no,V20 - F10,no,-
no,no,no,no,,Clock,"February 27, 2010",The Partner is Santa-san,566,no,no,TV Original,no,-
no,no,no,no,,Towel,"March 6, 2010",Murderous Intent Raining on an Outdoor Spa,567,no,no,TV Original,no,-
no,no,no,no,,Monster movie,"March 13, 2010","Inspector Shiratori, Memories of the Cherry Blossom (Part 1)",568,no,no,V66 - F2~4,no,-
yes,no,no,no,,Hat,"March 20, 2010","Inspector Shiratori, Memories of the Cherry Blossom (Part 2)",569,no,no,V66 - F2~4,no,-
no,no,no,no,,Nail art,"March 27, 2010",The Crime with Zero Possibility to be Proven,570,no,no,TV Original,no,-
no,no,no,yes,,Magatama,"April 3, 2010",Big Adventure in the Eccentric Mansion (The Seal) (Remastered),394,no,yes,V46 - F7~10,no,-
no,no,no,yes,,Mirror,"April 10, 2010",Big Adventure in the Eccentric Mansion (The Mechanism) (Remastered),395,no,no,V46 - F7~10,no,-
no,no,no,yes,,Sword,"April 17, 2010",Big Adventure in the Eccentric Mansion (The Resolution) (Remastered),396,no,no,V46 - F7~10,no,-
yes,yes,yes,yes,,Crane,"April 17, 2010 (Animax)April 24, 2010 (Nippon Television Network affiliates)",The Revived Phantom Thief (TV Special),MKS1,yes,no,MKV1 - C1,no,-
yes,no,no,no,,Stairs,"May 1, 2010",Battle of the Haunted Warehouse's Treasure (Part 1),571,no,no,V66 - F5~7,no,-
no,no,no,no,,Ceiling,"May 8, 2010",Battle of the Haunted Warehouse's Treasure (Part 2),572,no,no,V66 - F5~7,no,-
yes,no,yes,no,,Cracker,"May 15, 2010",The Whereabouts of the Embarrassing Charm (Part 1),573,no,no,V66 - F8~10,no,-
no,no,no,no,,Pocket,"May 22, 2010",The Whereabouts of the Embarrassing Charm (Part 2),574,no,no,V66 - F8~10,no,-
no,no,no,no,,Cup,"May 29, 2010",The Alibi of the Black Dress (Part 1),575,no,no,V66 - F11,no,-
no,no,no,no,,Twins,"June 5, 2010",The Alibi of the Black Dress (Part 2),576,no,no,V66 - F11,no,-
no,yes,no,no,,Lemon tea can,"June 12, 2010",A June Bride Murder Case (Remastered),18,no,no,V8 - F8~10,no,-
no,no,no,no,,Drink bottle,"June 19, 2010",The Truth Lit Up By the Fireflies,577,no,no,TV Original,no,-
no,no,yes,no,,Reading glasses,"June 26, 2010",The Crisis Beckoned by the Red Omen,578,no,no,V67 - F3~8,yes,-
no,no,no,no,,Receipt,"July 3, 2010",The Suggestion of Black Thirteen,579,no,yes,V67 - F3~8,yes,-
no,no,no,no,,T-shirt,"July 10, 2010",The Black Time Limit Drawing Near,580,no,yes,V67 - F3~8,yes,-
no,no,no,no,,Lipstick,"July 17, 2010",The Red Shaking Target,581,no,yes,V67 - F3~8,yes,-
no,no,no,no,,Strawberry,"July 24, 2010",The Night the Zombie Died,582,no,no,TV Original,no,-
no,yes,no,no,,Spirit photo,"July 31, 2010",Sonoko's Dangerous Summer Story (Part 1) (Remastered),153,no,no,V22 - F8~10,no,-
yes,no,yes,no,,Pantograph,"August 7, 2010",Sonoko's Dangerous Summer Story (Part 2) (Remastered),154,no,no,V22 - F8~10,no,-
yes,no,no,no,,Pickup truck,"August 14, 2010",Kobayashi-sensei's Love,583,no,no,V67 - F9,no,-
yes,no,no,no,,Bellowing,"August 21, 2010",Inspector Shiratori's Lost Love,584,no,no,V67 - F9,no,-
yes,no,no,yes,,Giraffe,"August 28, 2010",Timeless Sakura's Love,585,no,no,V67 - F9,no,-
no,no,no,yes,,Sparrow,"September 4, 2010",The Kirin's Horn That Vanished into the Dark,586,no,no,V68 - F5~8,no,-
no,no,no,yes,,Genta's 10-yen-sized bald spot,"September 11, 2010",Kid vs. the Four Divine Detective Boys,587,no,no,V68 - F5~8,no,-
no,no,no,no,,Scarecrow,"September 18, 2010",The Trap of the Rooftop Farm,588,no,no,TV Original,no,-
no,no,no,no,,Cola,"September 25, 2010",The Worst Birthday (Part 1),589,no,no,V68 - F2~4,no,-
yes,no,no,no,,Health & Sports Day,"October 2, 2010",The Worst Birthday (Part 2),590,no,no,V68 - F2~4,no,-
no,yes,yes,no,,Hideo Akagi,"October 9, 2010",Pro Soccer Player Blackmail Case (Remastered),10,no,no,V7 - F8,no,-
no,no,no,no,,Newspaper,"October 16, 2010",The House with the Aquarium,591,no,no,TV Original,no,-
yes,no,no,no,,Button,"October 23, 2010",The Detective Memoir of Monkey and Rake (Part 1),592,no,no,V68 - F9~11,no,-
yes,no,no,no,,Prediction,"October 30, 2010",The Detective Memoir of Monkey and Rake (Part 2),593,no,no,V68 - F9~11,no,-
no,no,no,no,,Fire,"November 6, 2010",The Seven Wonders of the Hiroshima Miyajima Tour (Miyajima Part),594,no,no,TV Original,no,-
no,no,no,no,,High-rise apartment,"November 11, 2010",The Seven Wonders of the Hiroshima Miyajima Tour (Hiroshima Part),595,no,no,TV Original,no,-
no,no,no,no,,Fountain pen,"November 18, 2010",The Alibi of the Fall,596,no,no,TV Original,no,-
no,no,no,no,,Outdoor spa on the lake,"November 27, 2010",The Scenario of the Steaming Locked Room (Part 1),597,no,no,V69 - F4~6,no,-
no,no,no,no,,Ring,"December 4, 2010",The Scenario of the Steaming Locked Room (Part 2),598,no,no,V69 - F4~6,no,-
no,no,no,no,,Automatic ticket box,"December 11, 2010",A Friend of Justice,599,no,no,TV Original,no,-
no,no,no,no,,Shoe,"December 25, 2010",The Dream the Kappa Saw (Part 1),600,no,no,V69 - F1~3,no,-
no,no,no,no,,Green paint,"January 1, 2011",The Dream the Kappa Saw (Part 2),601,no,no,V69 - F1~3,no,-
no,no,no,no,,Tennis ball,"January 8, 2011",The Devil Hidden in the Tennis Court,602,no,no,TV Original,no,-
yes,no,yes,no,,Ganguro,"January 15, 2011",Megure's Sealed Secret (Part 1) (Remastered),217,yes,no,V28 - F11,no,-
yes,yes,yes,no,,Height,"January 22, 2011",Megure's Sealed Secret (Part 2) (Remastered),218,yes,no,V28 - F11,no,-
no,no,no,no,,Black magic,"January 29, 2011",The Sance's Double Locked Room Mystery Case (First Locked Room),603,no,no,TV Original,no,-
no,no,no,no,,Poster,"February 5, 2011",The Sance's Double Locked Room Mystery Case (Second Locked Room),604,no,no,TV Original,no,-
no,no,no,no,,Ninja techniques,"February 12, 2011",The Sance's Double Locked Room Mystery Case (Opened Locked Room),605,no,no,TV Original,no,-
no,no,no,no,,Painting,"February 19, 2011",Courtroom Confrontation IV: Juror Sumiko Kobayashi (Part 1),606,no,no,TV Original,no,-
no,no,no,no,,Vase,"February 26, 2011",Courtroom Confrontation IV: Juror Sumiko Kobayashi (Part 2),607,no,no,TV Original,no,-
yes,no,no,no,,Sour,"March 5, 2011",White Day of Betrayal (Part 1),608,no,no,V69 - F7~9,no,-
yes,no,no,no,,Lemon,"March 19, 2011",White Day of Betrayal (Part 2),609,no,no,V69 - F7~9,no,-
no,yes,no,no,,N/A,"March 26, 2011",Class 1-B's Great Operation! (Remastered),460,no,no,V53 - F5~6,no,-
no,yes,no,no,,N/A,"April 2, 2011",Conan Edogawa Kidnapping Case (Remastered),43,no,no,V5 - F10,no,-
no,no,no,no,,Charcoal stove,"April 9, 2011",The Victim is Shinichi Kudo,610,no,no,V70 - F5~6,no,-
no,no,no,no,,Spheres,"April 16, 2011","Inubushi Castle, The Ablazed Demon Dog (Will-o'-The-Wisp Chapter)",611,no,no,V70 - F7~11,no,-
no,no,no,no,,Onion,"April 23, 2011","Inubushi Castle, The Ablazed Demon Dog (Footsteps Chapter)",612,no,no,V70 - F7~11,no,-
no,no,no,no,,Prayer beads,"April 30, 2011","Inubushi Castle, The Ablazed Demon Dog (Chapter of Princess)",613,no,no,V70 - F7~11,no,-
no,no,no,no,,Map,"May 7, 2011",The Secret Played by the Diary (Part 1),614,no,no,V69 - F10,no,-
no,no,no,no,,Piano seat,"May 14, 2011",The Secret Played by the Diary (Part 2),615,no,no,V69 - F10,no,-
no,yes,yes,no,,Sherlock Holmes,"May 21, 2011",Holmes Revelation (Holmes' Apprentice),616,no,no,V71 - F3,no,-
yes,no,yes,no,,Big Ben,"May 28, 2011",Holmes Revelation (Love is 0),617,no,no,V71 - F3,no,-
no,no,no,no,,Alphabet,"June 4, 2011",Holmes Revelation (Satan),618,no,no,V71 - F3,no,-
no,no,yes,no,,Saturn,"June 11, 2011",Holmes Revelation (Code Break),619,no,no,V71 - F3,no,-
no,no,no,no,,Teddy bear,"June 18, 2011",Holmes Revelation (Grass Court Queen),620,no,no,V71 - F3,no,-
yes,no,yes,no,,Woman with sunglasses,"June 25, 2011",Holmes Revelation (0 is Start),621,no,no,V71 - F3,no,-
yes,no,no,no,,Convenient bento,"July 2, 2011",Emergency Situation 252 (Part 1),622,yes,no,V72 - F2~4,no,-
no,no,no,no,,Cell phone wallpaper,"July 9, 2011",Emergency Situation 252 (Part 2),623,no,no,V72 - F2~4,no,-
no,yes,no,no,,Prone to sweat a lot,"July 16, 2011",A Video Letter of First Love,624,no,no,V71 - F1~2,no,-
yes,no,no,no,,Scratch marks,"July 23, 2011",The Screaming Operation Room (Part 1),625,yes,no,V72 - F5~7,no,-
